Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"ECR 2019: Book of Abstracts","Insights into Imaging","","10","1","10.1186/s13244-019-0713-y","","2019","http://link.springer.com/article/10.1186/s13244-019-0713-y","Article"
"ECR 2018 - BOOK OF ABSTRACTS","Insights into Imaging","","9","1","10.1007/s13244-018-0603-8","","2018","http://link.springer.com/article/10.1007/s13244-018-0603-8","Article"
"Annual Congress of the European Association of Nuclear Medicine October 12 – 16, 2019 Barcelona, Spain","European Journal of Nuclear Medicine and Molecular Imaging","","46","1","10.1007/s00259-019-04486-2","","2019","http://link.springer.com/article/10.1007/s00259-019-04486-2","Article"
"ECR 2020 Book of Abstracts","Insights into Imaging","","11","1","10.1186/s13244-020-00851-0","","2020","http://link.springer.com/article/10.1186/s13244-020-00851-0","Article"
"ESMRMB 2019, 36th Annual Scientific Meeting, Rotterdam, NL, October 3–October 5: Abstracts, Saturday","Magnetic Resonance Materials in Physics, Biology and Medicine","","32","1","10.1007/s10334-019-00755-1","","2019","http://link.springer.com/article/10.1007/s10334-019-00755-1","Article"
"CARS 2018—Computer Assisted Radiology and Surgery Proceedings of the 32nd International Congress and Exhibition Berlin, Germany, June 20–23, 2018","International Journal of Computer Assisted Radiology and Surgery","","13","1","10.1007/s11548-018-1766-y","","2018","http://link.springer.com/article/10.1007/s11548-018-1766-y","Article"
"CARS 2019—Computer Assisted Radiology and Surgery Proceedings of the 33rd International Congress and Exhibition, Rennes, France, June 18–21, 2019","International Journal of Computer Assisted Radiology and Surgery","","14","1","10.1007/s11548-019-01969-3","","2019","http://link.springer.com/article/10.1007/s11548-019-01969-3","Article"
"European Association of Nuclear Medicine October 22 – 30, 2020 Virtual","European Journal of Nuclear Medicine and Molecular Imaging","","47","1","10.1007/s00259-020-04988-4","","2020","http://link.springer.com/article/10.1007/s00259-020-04988-4","Article"
"ESMRMB 2019, 36th Annual Scientific Meeting, Rotterdam, NL, October 3–October 5: Abstracts, Friday","Magnetic Resonance Materials in Physics, Biology and Medicine","","32","1","10.1007/s10334-019-00754-2","","2019","http://link.springer.com/article/10.1007/s10334-019-00754-2","Article"
"Deep learning applications in pulmonary medical imaging: recent updates and insights on COVID-19","Machine Vision and Applications","","31","6","10.1007/s00138-020-01101-5","Hanan FarhatGeorge E. SakrRima Kilany","2020","http://link.springer.com/article/10.1007/s00138-020-01101-5","Article"
"Abstracts of the 51st Annual Conference of the Italian Society of Neurology","Neurological Sciences","","41","1","10.1007/s10072-020-04753-3","","2020","http://link.springer.com/article/10.1007/s10072-020-04753-3","Article"
"28th Annual Computational Neuroscience Meeting: CNS*2019","BMC Neuroscience","","20","1","10.1186/s12868-019-0538-0","","2019","http://link.springer.com/article/10.1186/s12868-019-0538-0","Article"
"Annual Congress of the European Association of Nuclear Medicine October 13 – 17, 2018 Düsseldorf, Germany","European Journal of Nuclear Medicine and Molecular Imaging","","45","1","10.1007/s00259-018-4148-3","","2018","http://link.springer.com/article/10.1007/s00259-018-4148-3","Article"
"ESMRMB 2020 Online, 37th Annual Scientific Meeting, September
30–October 2: Lightning Talks / Electronic Posters / Clinical Review
Posters / Software Exhibits","Magnetic Resonance Materials in Physics, Biology and Medicine","","33","1","10.1007/s10334-020-00876-y","","2020","http://link.springer.com/article/10.1007/s10334-020-00876-y","Article"
"Medical Image Analysis using Convolutional Neural Networks: A Review","Journal of Medical Systems","","42","11","10.1007/s10916-018-1088-1","Syed Muhammad AnwarMuhammad MajidAdnan QayyumMuhammad AwaisMajdi AlnowamiMuhammad Khurram Khan","2018","http://link.springer.com/article/10.1007/s10916-018-1088-1","Article"
"29th Annual Computational Neuroscience Meeting: CNS*2020","BMC Neuroscience","","21","1","10.1186/s12868-020-00593-1","","2020","http://link.springer.com/article/10.1186/s12868-020-00593-1","Article"
"A Review of Deep Learning on Medical Image Analysis","Mobile Networks and Applications","","26","1","10.1007/s11036-020-01672-7","Jian WangHengde ZhuShui-Hua WangYu-Dong Zhang","2021","http://link.springer.com/article/10.1007/s11036-020-01672-7","Article"
